port,timestamp,value,unit
port_2,2024-06-18T16:27:09.542210,1023.0,oC
port_2,2024-06-18T16:28:12.959257,1023.0,oC
port_2,2024-06-18T16:29:15.916795,1025.0,oC
port_1,2024-06-18T16:29:59.250720,1020.5,oC
port_2,2024-06-18T16:30:16.765389,1028.5,oC
port_1,2024-06-18T16:31:02.878999,1024.5,oC
port_2,2024-06-18T16:31:17.560318,1024.5,oC
port_1,2024-06-18T16:32:05.909562,1025.5,oC
port_2,2024-06-18T16:32:18.292648,1027.0,oC
port_1,2024-06-18T16:33:09.108404,1021.5,oC
port_2,2024-06-18T16:33:21.654698,1023.5,oC
port_1,2024-06-18T16:34:10.507080,1028.0,oC
port_2,2024-06-18T16:34:22.221813,1026.5,oC
port_1,2024-06-18T16:35:11.837593,1020.0,oC
port_2,2024-06-18T16:35:23.851829,1027.0,oC
